score,count
214,104
213,114
212,81
211,113
210,102
209,97
208,79
207,107
206,111
205,81
204,112
203,97
202,99
201,90
200,74
199,82
198,109
197,95
196,99
195,91
194,107
193,89
192,78
191,91
190,85
189,76
188,75
187,91
186,87
185,79
184,94
183,81
182,97
181,91
180,82
179,90
178,75
177,78
176,73
175,86
174,86
173,69
172,88
171,87
170,93
169,66
168,80
167,66
166,82
165,73
164,65
163,72
162,73
161,70
160,64
159,64
158,81
157,68
156,81
155,83
154,81
153,59
152,78
151,74
150,67
149,65
148,59
147,76
146,83
145,72
144,60
143,77
142,74
141,68
140,78
139,58
138,57
137,81
136,58
135,67
134,76
133,70
132,62
131,74
130,70
129,58
128,65
127,55
126,67
125,67
124,70
123,62
122,64
121,52
120,61
119,72
118,59
117,58
116,73
115,59
114,61
113,61
112,65
111,57
110,50
109,64
108,67
107,56
106,69
105,67
104,62
103,53
102,55
101,55
100,54
99,51
98,56
97,62
96,50
95,47
94,66
93,49
92,60
91,44
90,55
89,54
88,43
87,43
86,44
85,60
84,50
83,45
82,57
81,51
80,58
79,55
78,57
77,50
76,59
75,51
74,47
73,55
72,47
71,50
70,41
69,48
68,56
67,56
66,40
65,54
64,43
63,40
62,54
61,52
60,47
59,48
58,53
57,36
56,41
55,50
54,46
53,48
52,49
51,43
50,49
49,46
48,35
47,47
46,45
45,34
44,49
43,44
42,38
41,36
40,37
39,39
38,43
37,46
36,39
35,41
34,33
33,32
32,42
31,45
30,45
29,33
28,42
27,40
26,35
25,41
24,38
23,37
22,43
21,32
20,35
19,35
18,45
17,41
16,38
15,37
14,35
13,37
12,40
11,34
10,43
9,31
8,36
7,35
6,34
5,39
4,28
3,30
2,41
1,35
0,36
